question,answer
"Which of the following is the best description of the [Turn for] block?
","Turns the VR Robot left or right a specific amount of degrees."
"Which of the following is the best description of what the VR Robot will do based on this project?
","The VR Robot will drive forward 1000 millimeters (mm) at maximum velocity. It will turn right 180 degrees, set velocity back to the default, and drive forward 1000 millimeters (mm)."
"Which of the following is the best example of a helpful Robot Rule for students? 
","Treat the robot with respect and use it responsibly. 
"
"Which of the following is the best example of using VEX Robotics Knowledge Base articles?","Provide specific information on VEXcode VR and VR Robot features"
"Which of the following is the best example of using VEX Robotics Library articles?
","Provide specific information on VEXcode VR and VR Robot features"
"Which of the following is the best example of why the Touch LED would be used?","To provide visual feedback"
"Which of the following is the best explanation for the use of the [Wait] blocks in this project?
","To easily view the behavior of the arm as each [Joint move] block is run."
"Which of the following is the best explanation for why the arm is coded to return to Point 1 after picking up the disk?
","To ensure that the arm clears the standoffs of the pick up location before moving to the drop off location."
"Which of the following is the best explanation of the benefits of a block-based programming paradigm?","Block-based programming languages are easier to read, reduce or eliminate the need for memorization, and do not require typing or spelling skills."
"Which of the following is the best reason for using a C block in a VEXcode VR project?
","To loop the block(s) within them or check if a condition is TRUE or FALSE."
"Which of the following is the best reason to change the size of blocks to be smaller?
","To get all of the blocks on the screen at the same time."
"Which of the following is the best reason to use a [Forever] block in a VEXcode VR project?
","To continually check if a condition is TRUE or FALSE in a project"
"Which of the following is the best reason to use the Bumper Sensor?
","To instruct the VR Robot to use information from its environment (e.g Did I collide with a wall?), and then make decisions based on that information (e.g. Stop when it collides with a wall)."
"Which of the following is the best reason why VEXcode VR can help teachers and students in an educational setting?","All of the above"
"Which of the following is the controller for the Workcell?
","The V5 Brain"
"Which of the following is the correct process for configuring a device?","Open the configuration tab in VEXcode V5, select the device, select the appropriate settings, and then click Done."
"Which of the following is the correct process for identifying and updating the robot’s firmware?","Ensure the Brain is connected to the computer, check the status of the Brain icon in VEXcode V5, select the “Out Of Date” button from the Brain’s drop-down menu, wait while the firmware updates, power cycle the Brain, then check to ensure the Brain icon is now green."
"Which of the following is the recommended sequence for attaching the Vision Sensor to the Clawbot?
","Secure the gusset into the back of the Vision Sensor using two screws. Then screw one side of the standoff into the gusset and the other side into the beam of the claw arm’s wall. Use a Smart Cable to connect the Vision Sensor to the Robot Brain."
"Which of the following is true about building the Clawbot?","The Clawbot adds an arm and claw addition to an already built BaseBot"
"Which of the following is true about building the Simple Clawbot?","Which of the following is true about building the Simple Clawbot?"
"Which of the following is TRUE about creating classes in the VEXcode VR Licensing System?","Classes can be created by selecting 'Create Class,' entering the name of the class, and selecting 'Save changes.'"
"Which of the following is true about documenting your learning in the Detect and Deliver course?
","You will use the course thread in the PD+ community to document your learning throughout the course, as well as to share ideas with other course participants.
"
"Which of the following is true about educational robotics?","It can be used as a medium to engage students in problem finding, problem construction, problem analysis, planning and monitoring of solutions, and ultimately problem solving. "
"Which of the following is TRUE about Offline VEXcode VR?","Offline VEXcode VR is available for download with a VEXcode VR subscription."
"Which of the following is true about the VEX Robotics Competition’s challenge?
","The challenge changes each year/season and therefore so do the rules, skills, and goals."
"Which of the following is true about this project?","The robot will drive forward 30mm at its default velocity and then drive in reverse at a higher velocity, making the robot travel in reverse faster than it traveled forward."
"Which of the following is true of charging the V5 Robot Battery?
","The battery will fully charge in approximately 60 minutes alone, or in approximately 90 minutes if connected to the V5 Robot Brain."
"Which of the following is true?
","The Clawbot is an extension of the Speedbot build."
"Which of the following is used in a project to not only help organize the code, but also allows a user to plan out the overall goal of the project before beginning?
","Comments and notes"
"Which of the following is used to update the firmware of the 123 Robot?

","VEX Classroom App
"
"Which of the following occurs when the arm motor direction is changed from ‘Forward’ to ‘Reverse?’","The L1 and L2 buttons are reversed"
"Which of the following occurs when the claw motor direction is changed from ‘Forward’ to ‘Reverse?’","The R Up and R Down buttons are reversed"
"Which of the following options best describes the acceptable range of the potentiometer values for Joint 1 used while mastering?
","1600 - 2000"
"Which of the following resources can help you make the story more interactive as you are reading to your students? 
","Meet Your Robot Teacher’s Guide
"
"Which of the following sections of the Fun Frogs STEM Lab offers discussion prompts that you can use with students after completing the Froglet phase of the build?","Mid-Play Break"
"Which of the following sensors can be used to detect an object, but cannot detect the color of an object?","Distance Sensor"
"Which of the following should be used in order to properly lubricate the Turntable on the VEX V5 Workcell?
","White lithium grease"
"Which of the following skills or practices is NOT involved in spatial reasoning?","Memorizing math facts"
"Which of the following statements about documentation is true:
","Documentation can include words, images, path planning, changes made during iteration and their effects, and ideas for optimization.

"
"Which of the following statements about Engineering Notebooks is true?
","Engineering Notebooks are personal and should be created in a way that works best for the author.
"
"Which of the following statements about the Detect and Deliver Activity is true?","The robot must be able to pick up cubes no matter where they are placed in the “donation drop-off zone”.
"
"Which of the following statements about the Elimination Matches is true?
","Red Alliances and Blue Alliances face off against each other in a “ladder” format; the winning alliance moves on to the next round"
"Which of the following statements about the project is true?
","The robot will drive forward until the Bumper Switch is pressed."
"Which of the following statements is incorrect?
","Educational Robotics should only be limited to traditional STEM classroom settings."
"Which of the following statements is NOT true about this project?
","The robot only has one Bumper Switch."
"Which of the following statements is TRUE of coding the 123 Robot in an activity like Robot Parade?
","Students should code their project in smaller chunks, testing their project and adding to it as they go.
"
"Which of the following steps are important to keep in mind when a situation arises in the classroom where troubleshooting will be needed?
","Identify all possible causes for the error."
"Which of the following steps are part of activating a VEXcode VR Enhanced or Premium license?","All of the above"
"Which of the following steps will help ensure accurate data collection during the course of this investigation?","Taping the measuring device to the surface and placing a piece of tape on the surface to show where to line up the ramp for each trial"
"Which of the following type of drivetrain would be the best choice for a competition setting that would require the robot to travel over obstacles and avoid getting push laterally?
","Standard Drive"
"Which of the following will cause a Touch button project to be erased? 
","Shaking the robot until you hear the erasing sound
"
"Which of the following would be the best comment to describe this project?
","Drive the VR Robot in a square"
"Which of the following would result in the VR Robot driving in a square?
","Drive forward for 200 millimeters (mm), turn right 90 degrees, Drive forward 200 millimeters (mm), turn right 90 degrees, drive forward 200 millimeters (mm), turn right 90 degrees, drive forward 200 millimeters (mm)."
"Which of these best describes a programming language?
","A set of rules where symbols represent actions."
"Which of these blocks can NOT be used as either a waiting or non-waiting block?
","[Stop driving]"
"Which of these colors can the Eye Sensor detect using the <Detects color> block? Select the best answer.
",Red
"Which of these describes the ‘Child in Context’ View of School Readiness?","Looking at the opportunities the child has and has not had, and using that information to decide what the child needs"
"Which of these is a way to store values in rows and columns in a VEXcode V5 project?
","2D list"
"Which of these is best described as something “used to store values in a project?”
",Variable
"Which of these is NOT a feature of the VEX Robotics Library?","Articles are only displayed when their key terms are searched."
"Which of these is NOT a needed part for mounting and wiring a Bumper Switch?
","A Flat-head Screwdriver"
"Which of these is the best description of a User Interface (UI)?
","A method to allow a user to interact with a computer system (or machine) to provide input or observe outputs."
"Which of these is the best description of how My Blocks are used in a VEXcode V5 project?
","To create a sequence of blocks that can be used multiple times throughout a project"
"Which of these is the best description of the 'Arm Manual Movements' example project?
","A continuous display of the current position of the arm on the Brain's screen and allow you to manually move the arm on the Workcell."
"Which of these is the best description of the V5 Optical Sensor?
","A sensor used to detect the color of an object as well as if an object is near or far away from the sensor. "
"Which of these statements best describes the relationship between a driving gear and a driven gear?","A driving gear provides the power (input) and turns the driven (ouput) gear"
"Which pair of roles is filled by student team members at a VIQC event?
","Driver and Pit Crew"
"Which parameter could be used for the [Repeat] block in this project?
","The number 4"
"Which part of the block do you select to change the direction of the [Drive for] block?
",B
"Which part of the Pin Tool is used to pry GO pieces apart?",B
"Which part of the Pin Tool is used to pull pins?",C
"Which part of the Pin Tool is used to push pins?",A
"Which path will the Code Base follow based on the code?
",D
"Which piece in the VEX EXP Kit is used to keep mechanisms positioned correctly?
",Spacer
"Which piece, shown here, is used to tighten screws without needing a wrench or pliers?
","1 post standoff retainer"
"Which Planning Resource maps VEX EXP STEM Labs to standards?
","Where and How Standards are Reached"
"Which planning resource on camps.vex.com provides information like attendance policies, how to respond to incidents, and how to facilitate camp?","Camp Manual Template
"
"Which ports on the VEX V5 Brain are used to connect the Bumper Switch?","The 3-wire ports A through H"
"Which programming language is supported in VEXcode EXP? Select the best answer.
",Python
"Which question or set of questions best supports student learning with the engineering design process?
","Is there another way to solve this problem? What else could you try?"
"Which question or set of questions best supports student learning with the engineering design process?","Is there another way to solve this problem? What else could you try?"
"Which range of VEX EXP battery charge is indicated by 4 green lights?",75-100%
"Which range of VEX IQ battery charge is indicated by 4 green lights?",75-100%
"Which range of VEX V5 Battery charge is indicated by 3 green lights?
",50-75%
"Which resource can be found in the Teacher's Portal of VEX EXP STEM Lab Units? Select the best answer.
","All of the above"
"Which resource can be found in the Teacher's Portal of VEX IQ (2nd gen) STEM Lab Units? Select the best answer.","All of the above"
"Which resource can be used to give students voice and choice in showing what they have learned in a STEM Lab?
","Choice Board"
"Which resource can best be described as the online teacher's manual for VEX 123?
","VEX 123 STEM Labs"
"Which resource can help identify parts while building a VEX EXP Clawbot? Select the best answer.
","All of the above"
"Which resource can support educators in teaching VEX 123? Select the best answer.
","All of the above"
"Which resource evaluates student comprehension of the build process?
","Sample Build Rubric"
"Which resource evaluates student comprehension of the structure and function of GO pieces?
","Build Component Worksheet"
"Which resource helps to keep students and teachers on the same page about STEM Lab activity goals?
","Videos and animations"
"Which resource is best used to develop a plan for using VEX GO in the classroom?
","Cumulative Pacing Guide"
"Which resource is designed to be shared with families so they can learn about what their student is doing with VEX 123 at school?
","Letter Home"
"Which resource is provided to help educators communicate STEM Lab goals with families?
","Letter Home"
"Which resource is used to help develop a plan for using VEX GO in the classroom? Select the best answer.
","All of the above"
"Which resource provides a summary of each STEM Lab as well as links to additional resources to help educators get started?
",TeachCTE.vex.com
"Which resource shows how VEX 123 Activities and STEM Labs can be used together?
","Cumulative Pacing Guide"
"Which resource supports educators in teaching VEX GO? Select the best answer.
","All of the above"
"Which resource would best help teachers explain the function of individual Coder cards to students?
","The Coder card Reference Guide"
"Which resources can be found in the teacher section for SPARK STEM Labs?","Preview, pacing guide, and letter home"
"Which robot behaviors would be next in a sequence to drive the 123 Robot to numbers 6 then 7?
","Drive forward 1 step, Turn right 90 degrees, Drive forward 1 step
"
"Which role is an adult allowed to fill on a VIQC team? Select the best answer.
",Coach
"Which scenario allows students to engage with computer science without using a computer or other device? Select the best answer.","Coding using the 123 Robot or Coder"
"Which scenario describes a way the LED Bumper could be used in a project?
","When the LED Bumper is pressed, the Code Base drives in reverse"
"Which section of a STEM Lab should you review while getting ready to teach the Lab? Select the best answer.
","All of the above"
"Which section of the STEM Lab engages students in guided discussions to reflect on their learning during the Lab?
","Share
"
"Which section of the Unit Overview offers information about how the Lab can be adapted to implement it in less time, extend the lesson, or reteach concepts from the lesson? 
","Pacing Guide 
"
"Which section provides details about how VEX GO applies to the concepts being taught in the STEM Lab?","Applying VEX GO"
"Which section provides teachers with additional details about the context and concepts of a STEM Lab?
","Background Information"
"Which sentence correctly describes VEX 123 STEM Labs?
","STEM Labs offer a flexible way to implement educational robotics in your setting"
"Which sequence of commands will drive the Code Base to the fish?
","Drive forward 300 mm; Turn left 90 degrees; Drive forward 350 mm"
"Which set of elements is part of each VEX IQ SPARK STEM Lab?","Seek - Play - Rethink"
"Which set of resources is included in the Meet Your Robot STEM Lab?","Meet Your Robot Storybook PDF and Teacher Guide"
"Which set of resources might be useful when building a VEX EXP Clawbot?
","Build instructions, parts poster, and printable parts ruler"
"Which set of resources might be useful while building a VEX IQ Clawbot?
","Build instructions, parts poster, and printable parts ruler"
"Which set of steps describes the process for pairing and calibrating a VEX IQ (1st gen) Controller?","Connect your Controller to the Brain, select the 'Calibrate' option on the Brain, rotate the Joysticks to calibrate them "
"Which software is used to update firmware and create code for the VEX EXP Brain?","VEXcode EXP"
"Which software is used to update firmware and create code for the VEX V5 Brain?","VEXcode V5
"
"Which software package is used to update firmware and create code for the VEX IQ Brain?","VEXcode IQ"
"Which source could a VIQC team consider for funding? Select the best answer.
","All of the above"
"Which statement about accessing VEXcode EXP is correct?
","App-based VEXcode EXP can be installed on most devices"
"Which statement about accessing VEXcode EXP is correct? Select the best answer.
","All of the above"
"Which statement about accessing VEXcode IQ is correct?
","App-based VEXcode IQ can be installed on a device, and the web-based version can be accessed on a Chrome-based browser"
"Which statement about app-based VEXcode IQ is correct? Select the best answer.
","App-based VEXcode IQ can be installed on a Mac, Android, or Windows device"
"Which statement about block-based coding is correct?
","Block-based coding does not require strong typing or spelling skills"
"Which statement about block-based programming is correct?
","Block-based programming does not require strong typing or spelling skills"
"Which statement about choosing wheels is correct?
","Wheels should match the task you want your robot to complete"
"Which statement about choosing wheels is correct?","Wheel size and traction are important factors to consider"
"Which statement about conditions in a VEXcode EXP project is correct?

","Conditions always report a TRUE or FALSE value"
"Which statement about educational robotics is correct?
","Educational robotics improves 21st-century skills such as collaboration, communication, computational thinking, and troubleshooting"
"Which statement about educational robotics is correct? Select the best answer.
","All of the above"
"Which statement about gear trains is correct?","In a gear train, the driving gear provides the power (input) and the gear being turned (output) is the driven gear"
"Which statement about learning computer science with 123 is correct?","Making mistakes and iterating to solve a problem are part of learning computer science"
"Which statement about teaching computer science to young students is correct? Select the best answer.
","It enables them to be creative and bring their digital creations to life"
"Which statement about text-based coding in VEXcode IQ is correct?
","VEXcode IQ supports C++ and Python programming languages"
"Which statement about the coding languages supported in VEXcode EXP is correct?
","VEXcode EXP supports C++ and Python programming languages in addition to block-based coding"
"Which statement about the Driver Control Program is correct?","The Driver Control program allows you to drive a VEX IQ robot using a Controller without any coding"
"Which statement about the mechanical limits of the V5 Workcell arm is correct?","The arm has a dead zone of 75 degrees due to the Potentiometer on Joint 1"
"Which statement about the VEX Library is correct?","The search bar remains on every page for follow-up searches"
"Which statement about the Workcell Extensions is correct?","They are student-facing, editable Google Docs"
"Which statement about VEX 123 Activities is correct?
","They are designed to be student-facing or used with STEM Labs"
"Which statement about VEX GO build instructions is correct?","Build instructions do not require advanced reading skills"
"Which statement is TRUE for non-waiting blocks?
","They allow the stack continue even if the block's behavior is not yet complete."
"Which step is a suggested part of establishing routines with students?
","Writing or drawing the routine in a poster format"
"Which step is part of the process for pairing or calibrating a VEX IQ Controller?
","Select the Calibrate option from the Settings menu on the Robot Brain"
"Which step is part of the process for pairing or calibrating a VEX IQ Controller?","Select the Calibrate option from the Settings menu on the Robot Brain"
"Which step is part of the process to configure a device in VEXcode EXP? Select the best answer.
","All of the above"
"Which step is part of the process to configure a device in VEXcode IQ?
","Select the plug icon in the top right of VEXcode IQ"
"Which step is part of the process to download a VEXcode EXP project to the Brain? Select the best answer.
","Connect the Brain to the device"
"Which step is part of the process to pair a Controller to an EXP Brain?
","Press the Controller power button 2 times while holding down the L-Up and L-Down buttons"
"Which step is part of the process to update the Brain's firmware?
","Connect the Brain to a device via a USB cable"
"Which step is part of the recommended procedure for troubleshooting hardware? Select the best answer.","All of the above"
"Which step would be part of the "define" phase of the engineering design process when planning strategy for a classroom competition?","Analyzing ways to score points in the competition"
"Which steps must happen first before entering your license key?","Purchase a VEXcode VR subscription and obtain the license key from your email"
"Which steps would best help establish a routine for using VEX 123 with your students?
","Define the steps for a task, draw them on a classroom poster, and practice them"
"Which strategy is best when getting started with VEX GO?","Start with a simple build that uses just a few pieces"
"Which task would the VEX Library be most useful for?
","Searching for an article about how to connect your Brain to VEXcode IQ."
"Which teaching strategy can be used with the Coder and Coder cards?
","Have students hold up Coders or Coder cards to check progress during a lesson"
"Which technique can be used to determine the size of a VEX EXP C-Channel? Select the best answer.","All of the above"
"Which technique can be used to determine the size of a VEX IQ beam? Select the best answer.","All of the above"
"Which technique can be used to determine the size of a VEX V5 C-Channel? Select the best answer.","All of the above"
"Which technique can help you visualize connections in VEX IQ 3D build instructions? Select the best answer.","All of the above"
"Which technique would be most helpful when planning a route for a VEX EXP robot to follow?","Map out drives and turns on paper before coding them in VEXcode EXP"
"Which technique would be most helpful when planning a route for a VEX IQ robot to follow?","Map out drives and turns on paper before coding them in VEXcode IQ"
"Which technique would be most helpful when planning a route for a VEX V5 robot to follow?","Map out drives and turns on paper before coding them in VEXcode V5"
"Which terms are part of the acronym SPARK?
","Seek, Play, Apply, Rethink, and Know"
"Which text-based programming language is supported in VEXcode IQ for both IQ (1st gen) and IQ (2nd gen)?
",C++
"Which two sensors are being pointed to on the VR Robot?
","The Front Eye and Down Eye Sensors"
"Which type of additional help or information is provided within VEXcode EXP? Select the best answer.
","All of the above"
"Which type of charging port is used on the VEX EXP battery & controller?",USB-C
"Which type of charging port is used on the VEX IQ 2nd generation battery & controller?",USB-C
"Which type of content is available in the VEX Library? Select the best answer.
","Information about VEX products and services"
"Which type of information can the [Repeat] block accept as a parameter? Select the best answer.","Integers or numeric blocks"
"Which type of match is used to rank teams for VIQC Finals matches?
","Qualification match"
"Which type of movement is depicted in this image?
","Joint movement   "
"Which type of movement is depicted in this image?","Linear movement"
"Which type of VEX EXP wheel enables a robot to turn most easily?
","Omni Directional Wheel"
"Which value can the Inertial Sensor report?
","Heading of the robot"
"Which value is reported by the Inertial Sensor?
","Orientation of the robot"
"Which values does the Gyro Sensor report?","Heading and rotation"
"Which values does the Inertial Sensor report?
","The robot’s heading, rotation, orientation, and acceleration"
"Which values does the Inertial Sensor report?","The heading, rotation, orientation, and acceleration of a robot"
"Which VEX 123 component provides simple exercises that are easy to follow for independent student use?","VEX 123 Activities
"
"Which VEX EXP Planning Resource shows the alignment of standards to VEX EXP STEM Labs?","Content Standards"
"Which VEX GO parts can be used to attach two beams or plates together?","Pins and connectors"
"Which VEX GO pieces are used to raise the ramp to three different heights?","Orange, Blue, and Yellow standoffs"
"Which VEX GO resource can be used to differentiate instruction for students? Select the best answer.
","All of the above"
"Which VEX IQ drivetrain is omni directional and is created using four wheels angled at the corners?","X Drive"
"Which VEX IQ drivetrain uses tank treads?","Track Drive"
"Which VEX IQ Planning Resource maps VEX IQ STEM Labs to standards?","How and Where Standards are Reached"
"Which VEX IQ Planning Resource shows the alignment of standards to VEX IQ STEM Labs?","Content Standards"
"Which VEX IQ sensor can detect or report both the brightness of the robot's environment and the proximity and color of an object?
","Color Sensor"
"Which VEXcode EXP block is used to display values on the Print Console or Brain?
",[Print]
"Which VEXcode GO resource can be used to implement a STEM Lab in less time? 
","Tutorial videos"
"Which VEXcode IQ block is used to display values on the Print Console or Brain?",[Print]
"Who is the best person to contact if you have questions about registering your VIQC team or attending VIQC events?
","Your REC Foundation Support Manager"
"Why are the 1 post standoff retainers used when attaching the C-Channel to the BaseBot?","To provide extra support for the connection between C-Channels"
"Why do the Engage and Play sections of STEM Labs use predictable verbs?
","To help teachers facilitate project based learning and conversation"
"Why is an Optical Sensor used in this VEXcode IQ project?
","To decide whether to turn right or left based on the color of a detected object"
"Why is coding the robot to move forward and reverse the best activity to start with?","All of the above"
"Why is it helpful to use the "Step" feature in a project?
","It allows the user to trace the flow of a project in order to find and fix problems"
"Why is it important to correctly attach bumper switches to the correct ports? 
","To ensure that the program and bumper switch will work correctly."
"Why is it important to correctly sequence commands in a project?
","To make a project that works as intended."
"Why is pseudocode included in STEM Labs?
","In order to help students think conceptually about a challenge before they begin programming."
"Why is the Competition Template required in a VEX Robotics Competition?","To ensure all robots start and stop at the same time for each portion of the match

"
"Why is the Devices Screen used after plugging in the Bumper Switch?","To verify that the Bumper Switch was plugged in correctly"
"Why is the [If then] block nested inside the [Forever] block for this project?
","Conditions of the [If then] block will be checked continually if nested in a [Forever] block. the VR Robot will use the Down Eye Sensor to continually check for an object"
"Why is troubleshooting an important skill to teach students?
","All of the above"
"Why might you use a Boolean condition in a VEXcode EXP project?

","To utilize sensor feedback in a project"
"Why might you use a Boolean condition in a VEXcode EXP project?
","To control the flow of the project"
"Why might you use a [Forever] block in a VEXcode EXP project?

","To continually check if a condition is TRUE or FALSE in a project"
"Why might you use a [Repeat] block in a project?
","To repeat a set of behaviors a specific number of times"
"Why might you use a [Repeat] block in a project?","[Repeat] blocks give you a more efficient way to repeat behaviors in a project, and help with more complex projects"
"Why would a Gyro Sensor be used in a VEXcode IQ project?","To maintain straight driving and make accurate turns"
"Why would a Gyro Sensor be used in a VEXcode IQ project? Select the best answer.
","All of the above"
"Why would a [Print] block be used to troubleshoot?","To show what is happening in a project at a specific moment in time"
"Why would you make a custom V5 Smart Cable?

","For efficient cable management"
"Why would you use a Boolean condition in a VEXcode IQ project?","To control the flow of the project"
"Why would you use a Bumper Switch with your robot?
","The Bumper Switch allows the robot to interact with its environment, and can be coded to cause a behavior when pressed or released"
"Why would you use a [Repeat] block in a project?","To repeat behaviors a specific number of times"
"You are trying to add the Bumper Switch in Port A to the robot’s configuration but there isn’t a Bumper Switch listed to add. What do you have to select?
",3-Wire
"You can add blocks to a VEXcode 123 project by dragging them into your project from the ______.
","Toolbox on the left"
"You can teach with VEX 123 using both STEM Labs and 123 Activities.",True
"You can use VEX GO to support mathematical thinking by __________ and ___________.","Using math focused builds; practicing spatial reasoning through building"
"[TRUE/FALSE] The [Spin for] block can be used to code the drivetrain to turn left or right for a specific distance.
",False
"______ and _____ are two of the foundational cognitive skills that support literacy learning by helping students do things like focus on the letters and words in front of them and orient their writing on a page.
","Executive function and spatial reasoning skills
"
"______ enable(s) students to code the 123 Robot without a screen.
","The Coder and Coder cards"
"______ is a measure of rotational force.",Torque
"______ will run your Coder card project.
","Pressing the Start button on the Coder"
"______ will start a project in VEXcode 123. Select the best answer.","Selecting the Start button in the Toolbar"
"_____________ is described as the ability for a child’s hands and eyes to work together to guide their movements, and can be a predictor of _____________ .","Visuo-motor integration; math ability"
"______________, the idea that ‘children learn first with their eyes, bodies, and hands’ is ________ effective at building neural connections and supporting learning.","Embodied learning; more"
"_______________ can be defined as a set of cognitive processes that influence how we learn, make choices, create plans, and carry out those plans. ","Executive function"
"_______________________ is a strong predictor of math ability.","Visual motor integration"
" What does the green Controller icon at the top of VEXcode IQ indicate?"," The Controller’s firmware is up to date"
" Which of the following describes the correct process for updating the Controller’s firmware?"," Connect the Controller to the device via a USB-C cable, select ‘Update,’ wait for the Controller to update, select ‘OK’ once the Controller has updated"
"‘Get Started with VEX 123’ is a guide for ______.","setting up VEX 123 in your learning environment"
